"Building.Name","Property.Type","Property_Size_in_sq_ft","Bedroom","Bathroom","Amount_of_Facilities","Parking_Lot","Land.Title","Tenure.Type","Price_in_RM"
"YOU Vista @ YOU City Cheras","Service Residence",1276,3,2,10,2,"Non Bumi Lot","Freehold",542888
"Bukit Pandan 2","Condominium",1130,3,2,0,1,"Non Bumi Lot","Freehold",328000
"Green Suria Apartment","Apartment",1212,3,2,7,2,"Non Bumi Lot","Freehold",350000
"Ayuman Suites","Service Residence",557,3,2,8,2,"Bumi Lot","Freehold",340000
"Green Suria Apartment","Apartment",1212,3,2,7,2,"Non Bumi Lot","Freehold",336000
"Perdana Exclusive Condo","Condominium",958,3,2,11,1,"Non Bumi Lot","Leasehold",550000
"Ehsan Ria","Apartment",1174,3,2,13,1,"Bumi Lot","Leasehold",595000
"Serdang Villa Apartment","Apartment",850,3,2,5,1,"Non Bumi Lot","Freehold",338000
"Apartment Putra 1","Apartment",1034,3,2,8,2,"Non Bumi Lot","Freehold",425000
"Bandar Baru Ampang","Apartment",732,4,1,1,0,"Non Bumi Lot","Leasehold",180000
"Taman Sri Manja","Apartment",700,3,1,0,0,"Bumi Lot","Leasehold",185000
"Sandalwood Court","Flat",650,3,1,0,0,"Non Bumi Lot","Leasehold",85000
"Pangsapuri Prima Perai","Apartment",2524,4,3,0,2,"Non Bumi Lot","Freehold",328000
"Rhythm Avenue USJ19","Apartment",615,2,1,10,0,"Non Bumi Lot","Freehold",255000
"Larkin Heights Apartment","Apartment",916,3,2,6,2,"Non Bumi Lot","Leasehold",378000
"Gravit8","Service Residence",635,2,1,9,0,"Non Bumi Lot","Freehold",380000
"Beverly Hills 3","Apartment",660,2,1,0,1,"Non Bumi Lot","Leasehold",270000
"Vista Lavender","Apartment",850,3,2,12,1,"Non Bumi Lot","Leasehold",225000
"Taman Suria Shop Apartment","Apartment",700,2,2,6,0,"Non Bumi Lot","Leasehold",250000
"I-Park Apartment","Apartment",650,3,2,6,1,"Non Bumi Lot","Freehold",213000
"Zen Residence","Condominium",1294,3,2,13,2,"Non Bumi Lot","Leasehold",48000
"The Pines Residence","Apartment",950,3,2,0,0,"Non Bumi Lot","Leasehold",268000
"The Hamstead","Condominium",947,3,2,6,2,"Non Bumi Lot","Leasehold",425000
"Atlantis Residences","Service Residence",1055,2,2,9,5,"Non Bumi Lot","Leasehold",460000
"Atlantis Residences","Service Residence",689,1,1,13,5,"Non Bumi Lot","Leasehold",295000
"Amber Cove","Service Residence",710,2,2,9,0,"Non Bumi Lot","Leasehold",460000
"Parkland Residence @ Sungai Melaka","Service Residence",1088,3,2,4,2,"Non Bumi Lot","Freehold",568000
"Parkland Residence @ Sungai Melaka","Service Residence",1088,3,2,4,0,"Non Bumi Lot","Freehold",500000
"Nu Ryegates","Apartment",1050,3,2,5,2,"Non Bumi Lot","Leasehold",620000
"Simfoni @ Eco Majestic","Apartment",753,3,2,4,1,"Non Bumi Lot","Freehold",215000
"Synergy Square","Apartment",1101,2,1,0,0,"Non Bumi Lot","Leasehold",148000
"Wave Marina Cove (Pangsapuri Tepian Bayu)","Service Residence",958,3,2,14,0,"Non Bumi Lot","Freehold",460000
"Aman Putra Apartment","Apartment",720,3,2,9,0,"Bumi Lot","Leasehold",180000
"Bertam Malim","Apartment",750,3,1,0,0,"Non Bumi Lot","Freehold",90000
"Cocobay Resort Condominium","Condominium",904,2,2,7,1,"Non Bumi Lot","Freehold",140000
"Mentari Court","Apartment",750,3,2,0,1,"Bumi Lot","Leasehold",265000
"Kiara Court","Apartment",929,3,2,10,2,"Non Bumi Lot","Freehold",315000
"Majestic Maxim","Service Residence",819,3,2,7,1,"Non Bumi Lot","Leasehold",428000
"Vista Impiana","Condominium",830,3,2,5,1,"Non Bumi Lot","Leasehold",209999
"Excelsa Apartment","Apartment",1260,4,2,5,1,"Non Bumi Lot","Freehold",249999
"Sri Astana","Apartment",920,4,2,2,1,"Bumi Lot","Freehold",325000
"Jesselton Quay Citypads","Service Residence",701,2,2,5,0,"Non Bumi Lot","Leasehold",868000
"The Shore (Kota Kinabalu)","Service Residence",552,1,1,7,0,"Non Bumi Lot","Leasehold",708000
"One Sulaman","Condominium",900,2,2,12,1,"Non Bumi Lot","Leasehold",369000
"Kasturi (Johor Bahru)","Apartment",990,3,2,14,1,"Bumi Lot","Leasehold",290000
"Pandan Residence 2","Service Residence",680,1,1,14,1,"Non Bumi Lot","Freehold",259000
"Kiara 9","Condominium",1661,4,3,7,2,"Non Bumi Lot","Freehold",1150000
"Prima Regency Service Apartment","Service Residence",1050,3,2,0,1,"Non Bumi Lot","Freehold",335000
"Perdana Villa (Klang)","Apartment",1100,3,2,5,1,"Non Bumi Lot","Freehold",280000
"Seri Baiduri (Setia Alam)","Apartment",926,3,2,0,0,"Non Bumi Lot","Leasehold",340000
"Sentrovue","Service Residence",842,3,2,8,1,"Bumi Lot","Leasehold",270000
"D'Summit Residences","Service Residence",1238,4,3,11,2,"Bumi Lot","Freehold",381000
"De Rozelle","Condominium",998,3,2,9,0,"Bumi Lot","Leasehold",390000
"Bukit Mas Apartment","Apartment",945,3,2,4,0,"Bumi Lot","Leasehold",250000
"Kenangan View","Apartment",1128,3,2,3,1,"Non Bumi Lot","Freehold",275000
"Vista Bayu (Klang)","Condominium",960,3,2,6,1,"Non Bumi Lot","Freehold",309000
"Bayu Puteri 2","Condominium",990,3,2,14,0,"Non Bumi Lot","Leasehold",250000
"Amara Service Residences","Service Residence",1012,3,2,10,2,"Non Bumi Lot","Freehold",320000
"Taman Kosas Flat (Jalan Kosas 3)","Flat",527,2,2,0,0,"Bumi Lot","Leasehold",135000
"Apartment Dewi","Apartment",720,3,2,2,1,"Bumi Lot","Leasehold",160000
"Putra Suria Residence","Condominium",753,3,2,6,1,"Bumi Lot","Leasehold",300000
"Taman Sri Tanjung (Semenyih) Flat","Flat",650,3,2,5,1,"Bumi Lot","Leasehold",110000
"Kyoto Gardens Condominium","Condominium",1450,3,2,4,1,"Non Bumi Lot","Freehold",380000
"Villamas (Klang)","Apartment",850,3,2,3,1,"Bumi Lot","Freehold",210000
"Banjaria Court","Condominium",991,3,2,9,1,"Bumi Lot","Leasehold",340000
"Cyberjaya Residence","Apartment",900,3,2,13,2,"Non Bumi Lot","Freehold",345000
"Sri Mahligai","Condominium",1173,3,2,6,0,"Bumi Lot","Leasehold",355000
"Pangsapuri Seri Bintang","Apartment",750,3,2,6,0,"Bumi Lot","Leasehold",265000
"Apartment Indah Damansara Damai","Flat",753,3,2,2,0,"Non Bumi Lot","Leasehold",180000
"Sri Bayu (Subang Jaya)","Condominium",1547,4,3,5,0,"Non Bumi Lot","Freehold",710000
"Pelita Indah Condominium","Condominium",1200,3,2,5,1,"Non Bumi Lot","Freehold",380000
"Lily & Jasmine","Apartment",1001,4,2,0,1,"Non Bumi Lot","Leasehold",250000
"Sri Intan (Bandar Seri Alam)","Flat",850,3,2,1,1,"Non Bumi Lot","Freehold",155000
"Flat Temenggong","Flat",700,3,2,0,1,"Non Bumi Lot","Freehold",79000
"Kyoto Gardens Condominium","Condominium",1431,3,2,11,1,"Non Bumi Lot","Freehold",360000
"Oakleaf Park","Condominium",850,3,2,9,1,"Bumi Lot","Leasehold",260000
"Pangsapuri Damai @ Tropicana","Apartment",667,3,2,4,0,"Bumi Lot","Leasehold",175000
"The Boulevard (Subang)","Condominium",1711,3,3,11,2,"Non Bumi Lot","Leasehold",715000
"Kristal Heights (Shah Alam)","Condominium",1003,3,2,5,0,"Bumi Lot","Leasehold",410000
"D'Piazza Condominium","Condominium",1300,3,3,11,1,"Non Bumi Lot","Freehold",470000
"Kyoto Gardens Condominium","Condominium",1431,3,2,11,1,"Non Bumi Lot","Freehold",360000
"Oakleaf Park","Condominium",850,3,2,9,1,"Bumi Lot","Leasehold",260000
"Pangsapuri Damai @ Tropicana","Apartment",667,3,2,4,0,"Bumi Lot","Leasehold",175000
"The Boulevard (Subang)","Condominium",1711,3,3,11,2,"Non Bumi Lot","Leasehold",715000
"Kristal Heights (Shah Alam)","Condominium",1003,3,2,5,0,"Bumi Lot","Leasehold",410000
"D'Piazza Condominium","Condominium",1300,3,3,11,1,"Non Bumi Lot","Freehold",470000
"V-Residensi","Condominium",1210,3,2,9,2,"Non Bumi Lot","Leasehold",390000
"Sri Manja Square Petaling Jaya","Apartment",910,3,2,2,0,"Bumi Lot","Leasehold",260000
"Flat PKNS Seksyen 7 Shah Alam","Flat",750,3,2,7,0,"Bumi Lot","Leasehold",213000
"Angsana Apartment (Cheras)","Apartment",753,3,2,3,0,"Non Bumi Lot","Freehold",240000
"Tiara ParkHomes","Condominium",1054,3,2,12,2,"Non Bumi Lot","Freehold",295000
"6 CapSquare","Condominium",1411,2,2,9,1,"Non Bumi Lot","Freehold",888000
"Sri Pelangi Apartment","Apartment",856,3,2,9,1,"Bumi Lot","Leasehold",265000
"Pusat Bandar Puchong","Apartment",700,3,2,1,0,"Bumi Lot","Leasehold",190000
"Vista Seri Alam","Apartment",912,3,2,1,1,"Non Bumi Lot","Freehold",258000
"Sentrovue","Service Residence",842,3,2,7,0,"Bumi Lot","Leasehold",249000
"Quadro Residences","Condominium",1853,4,6,11,2,"Non Bumi Lot","Freehold",2300000
"Teratai Apartment @ Taman Sutera","Apartment",791,3,2,4,1,"Bumi Lot","Freehold",220000
"Atlantis Residences","Service Residence",1055,2,2,9,0,"Non Bumi Lot","Leasehold",500000
"Pangsapuri Subang Suria","Apartment",778,3,2,6,1,"Bumi Lot","Leasehold",205000
"Permas Ville Apartments","Apartment",1023,3,2,0,1,"Non Bumi Lot","Freehold",358000
"Putri Ria","Condominium",950,3,2,9,1,"Non Bumi Lot","Freehold",250000
"Pangsapuri Seri Bintang","Apartment",750,3,2,5,1,"Bumi Lot","Leasehold",255000
"Beverly Hills 1","Apartment",410,2,1,1,1,"Non Bumi Lot","Leasehold",230000
"Idaman Senibong Apartment","Apartment",818,3,2,7,1,"Non Bumi Lot","Leasehold",220000
"Lily & Jasmine","Apartment",1001,3,2,0,1,"Non Bumi Lot","Leasehold",210000
"The Aliff Residences","Service Residence",947,3,2,4,0,"Non Bumi Lot","Leasehold",350000
"Luxury Studio at Puchong South","Studio",560,2,1,0,1,"Non Bumi Lot","Freehold",250000
"Cempaka Mawar","Flat",650,3,1,2,1,"Non Bumi Lot","Leasehold",135000
"Taman Desa Ilmu","Apartment",624,2,1,0,0,"Non Bumi Lot","Leasehold",125000
"Stutong Heights Apartment 2","Apartment",841,2,2,2,1,"Non Bumi Lot","Freehold",340000
"Stutong Heights Apartment 2","Apartment",841,2,2,2,1,"Non Bumi Lot","Freehold",350000
"Taman Desa Ilmu","Apartment",624,2,1,0,0,"Non Bumi Lot","Leasehold",138000
"Stutong Heights Apartment 1","Apartment",921,2,2,0,1,"Non Bumi Lot","Leasehold",390000
"Stutong Heights Apartment 1","Apartment",640,2,2,3,1,"Bumi Lot","Leasehold",290000
"Vermont Suites","Condominium",1475,3,2,8,2,"Non Bumi Lot","Leasehold",700000
"The Echelon","Apartment",1077,2,2,10,2,"Non Bumi Lot","Leasehold",580000
"The Echelon","Apartment",1077,2,2,10,2,"Non Bumi Lot","Leasehold",600000
"Rivervale Condominium","Condominium",948,2,2,5,1,"Non Bumi Lot","Leasehold",688000
"Eden Heights","Condominium",1316,3,2,6,1,"Non Bumi Lot","Leasehold",380000
"Lee Ling Villa","Apartment",1085,3,2,2,1,"Non Bumi Lot","Leasehold",220000
"Yoshi Square Commercial Centre","Apartment",660,2,1,0,1,"Non Bumi Lot","Leasehold",168000
"MJC Courtyard Sanctuary","Apartment",818,3,2,0,1,"Non Bumi Lot","Leasehold",275000
"MJC Courtyard Sanctuary","Apartment",802,3,2,0,1,"Non Bumi Lot","Leasehold",325000
"MJC Courtyard Sanctuary","Apartment",806,3,2,0,1,"Non Bumi Lot","Leasehold",300000
"Liberty Grove","Apartment",1087,3,3,6,2,"Non Bumi Lot","Leasehold",550000
"Lee Ling Villa","Apartment",929,3,2,0,1,"Non Bumi Lot","Leasehold",188000
"Urbaneeze Apartment","Apartment",1300,3,2,5,2,"Non Bumi Lot","Leasehold",540000
"Green Heights Villa","Apartment",1399,3,2,1,1,"Non Bumi Lot","Leasehold",480000
"Malihah","Flat",450,2,1,0,0,"Non Bumi Lot","Leasehold",78000
"MJC Courtyard Sanctuary","Apartment",806,3,2,0,1,"Non Bumi Lot","Leasehold",280000
"Permai Court 1","Flat",657,3,2,5,1,"Bumi Lot","Leasehold",220000
"Tabuan Stutong Apartment","Apartment",1680,3,2,1,1,"Non Bumi Lot","Leasehold",430000
"Taman Indah Jaya","Apartment",700,3,2,0,0,"Non Bumi Lot","Leasehold",188000
"Liberty Grove","Apartment",1257,4,3,12,2,"Non Bumi Lot","Leasehold",600000
"MJC Courtyard Sanctuary","Apartment",806,3,2,0,1,"Non Bumi Lot","Leasehold",270000
"HK Square","Service Residence",1226,2,1,0,1,"Non Bumi Lot","Leasehold",390000
"Yoshi Square Commercial Centre","Apartment",660,2,1,0,1,"Non Bumi Lot","Leasehold",158000
"Diamond Villa","Condominium",2400,3,3,8,2,"Non Bumi Lot","Freehold",950000
"Sri Suajaya Condominiums","Condominium",1195,3,2,7,1,"Non Bumi Lot","Freehold",365000
"Warisan City View","Condominium",909,3,2,8,1,"Bumi Lot","Leasehold",330000
"Gardenia Court (Kuching)","Apartment",1288,3,2,0,1,"Non Bumi Lot","Leasehold",350000
"The Lumayan Apartment","Apartment",830,3,2,6,1,"Bumi Lot","Leasehold",330000
"Seksyen 10 Wangsa Maju","Flat",530,2,1,3,1,"Bumi Lot","Leasehold",185000
"Desa Mas (Rawang)","Apartment",850,3,2,5,1,"Bumi Lot","Leasehold",240000
"Grace Residence","Condominium",1646,3,2,7,2,"Non Bumi Lot","Freehold",1100000
"Gardenia Court (Kuching)","Apartment",1288,3,2,0,1,"Non Bumi Lot","Leasehold",310000
"Seroja Apartment","Apartment",650,3,2,3,0,"Non Bumi Lot","Freehold",170000
"Suasana Lumayan","Condominium",1142,4,2,5,1,"Non Bumi Lot","Leasehold",430000
"Papillon Street Mall","Service Residence",548,1,1,0,0,"Non Bumi Lot","Leasehold",165000
"Parc Regency Serviced Apartment","Service Residence",810,2,2,0,0,"Non Bumi Lot","Freehold",298000
"Hills 68","Apartment",1600,3,2,4,1,"Non Bumi Lot","Leasehold",480000
"Samajaya Apartment","Apartment",632,3,2,2,0,"Non Bumi Lot","Leasehold",250000
"Arena Green","Condominium",726,2,2,4,0,"Bumi Lot","Freehold",270000
"Hills 68","Apartment",1600,3,2,2,0,"Non Bumi Lot","Leasehold",500000
"3 Residence","Condominium",850,3,2,9,2,"Non Bumi Lot","Leasehold",690000
"Waizuri 1","Apartment",1055,3,2,3,0,"Bumi Lot","Leasehold",380000
"Lafite Apartment (Subang Jaya)","Condominium",915,3,2,4,1,"Non Bumi Lot","Freehold",400000
"Ixora Apartment (Kepong)","Apartment",941,3,2,5,1,"Bumi Lot","Leasehold",250000
"The Place @ Cyberjaya","Condominium",500,1,1,14,0,"Bumi Lot","Freehold",185000
"Villa Impian (Kota Warisan Sepang)","Apartment",720,3,2,0,0,"Non Bumi Lot","Freehold",230000
"Laguna Biru 1","Apartment",850,3,2,4,0,"Bumi Lot","Leasehold",198000
"Pangsapuri Dahlia Court","Apartment",830,3,2,4,0,"Non Bumi Lot","Leasehold",280000
"Ensyn Avenue","Apartment",893,3,2,3,1,"Non Bumi Lot","Leasehold",370000
"Petaling Indah Condominiums","Condominium",855,2,2,8,0,"Non Bumi Lot","Leasehold",255000
"Karisma @ Eco Majestic","Apartment",800,3,2,8,2,"Non Bumi Lot","Freehold",220000
"Stulang Laut","Flat",678,3,1,0,0,"Non Bumi Lot","Freehold",188000
"Ketumbar Heights","Condominium",965,4,2,0,2,"Non Bumi Lot","Freehold",285000
"Koi Legian","Condominium",1550,5,3,14,1,"Non Bumi Lot","Leasehold",420000
"Lee Ling Villa","Apartment",1000,3,2,0,0,"Non Bumi Lot","Leasehold",230000
"Jalil Damai","Apartment",1043,3,2,7,1,"Non Bumi Lot","Freehold",390000
"Bayu Tasik 1","Condominium",920,3,2,8,2,"Non Bumi Lot","Leasehold",330000
"Armanee Terrace I","Condominium",2987,5,4,14,2,"Non Bumi Lot","Leasehold",1028000
"K Avenue Residential","Service Residence",1038,3,3,14,0,"Non Bumi Lot","Leasehold",600000
"Flat PKNS Seksyen 7 Shah Alam","Flat",750,3,2,1,0,"Bumi Lot","Leasehold",225000
"Valencia Apartment","Apartment",950,3,2,3,0,"Non Bumi Lot","Freehold",199000
"The Loft @ ZetaPark","Condominium",1281,3,4,7,0,"Bumi Lot","Leasehold",650000
"Palmville Resort Condominium @ Sunway City","Condominium",1540,3,2,9,2,"Non Bumi Lot","Leasehold",868000
"Pertiwi Indah","Condominium",1300,3,2,3,1,"Non Bumi Lot","Leasehold",580000
"Ceriaan Kiara","Condominium",1828,3,2,8,2,"Non Bumi Lot","Freehold",1080000
"Malihah","Flat",495,2,1,0,0,"Non Bumi Lot","Leasehold",78000
"Gardenia Court (Kuching)","Apartment",1288,3,2,0,0,"Non Bumi Lot","Leasehold",350000
"Samajaya Apartment","Apartment",703,3,2,2,0,"Non Bumi Lot","Leasehold",220000
"The Clio 2 Residences","Condominium",904,3,2,13,2,"Bumi Lot","Freehold",479000
"Putra Villa","Condominium",1075,3,2,9,0,"Non Bumi Lot","Freehold",430000
"Luminari","Condominium",947,2,2,6,1,"Non Bumi Lot","Freehold",490000
"Aster Residence Cheras","Service Residence",1009,3,2,12,2,"Non Bumi Lot","Leasehold",688000
"-","Condominium",1110,3,2,0,2,"Non Bumi Lot","Freehold",445300
"Emerald Residence","Condominium",1183,3,2,1,2,"Non Bumi Lot","Freehold",448000
"D'Piazza Condominium","Condominium",1300,3,2,10,2,"Non Bumi Lot","Freehold",620000
"Austin Perdana","Apartment",850,3,2,9,0,"Non Bumi Lot","Freehold",268000
"Sri Impian Apartment (Larkin Perdana)","Apartment",925,3,2,4,0,"Non Bumi Lot","Leasehold",288000
"The Loft @ ZetaPark","Condominium",1280,3,2,10,2,"Non Bumi Lot","Leasehold",700000
"Hot New Condo next to MRT","Condominium",550,1,1,12,1,"Non Bumi Lot","Freehold",270000
"Sentul 2023 Ready Move In Freehold Condo 0%DP Free All Legal","Service Residence",878,3,2,0,2,"Non Bumi Lot","Freehold",450000
"Setapak 300k Full Loan Free Legal Condo","Service Residence",810,3,2,0,1,"Non Bumi Lot","Leasehold",300000
"-","Condominium",1062,3,3,0,1,"Bumi Lot","Leasehold",380000
"Kenyalang Court","Condominium",1400,4,2,0,1,"Non Bumi Lot","Leasehold",520000
"The Garden Residences","Condominium",1141,3,2,0,4,"Non Bumi Lot","Leasehold",400000
"Camellia Serviced Suites","Service Residence",633,1,1,10,0,"Non Bumi Lot","Leasehold",550000
"Selayang Mulia Apartment Mawar & Teratai","Apartment",670,3,2,2,0,"Non Bumi Lot","Leasehold",165000
"Emerald Residence","Condominium",1114,3,2,1,2,"Non Bumi Lot","Freehold",448000
"-","Condominium",1114,3,2,0,2,"Non Bumi Lot","Freehold",447500
"BAYAN LEPAS MOST WORTH UNIT 1114SF ONLY 448K PER FLOR ONLY 6 UNIT","Condominium",1114,3,2,8,2,"Non Bumi Lot","Freehold",448000
"Desa Setapak, Wangsa Maju,","Others",592,3,2,0,0,"Non Bumi Lot","Freehold",385000
"near sungai ara","Condominium",1112,3,2,0,2,"Non Bumi Lot","Freehold",447500
"Molek Regency","Condominium",1005,2,2,11,1,"Non Bumi Lot","Freehold",560000
"Goodyear Court 8","Apartment",742,3,2,8,1,"Non Bumi Lot","Freehold",330000
"Vista Minintod","Duplex",850,3,2,1,1,"Non Bumi Lot","Leasehold",260000
"Sutera Apartment (Kajang)","Apartment",992,3,2,0,0,"Bumi Lot","Freehold",250000
"Rosana Villa Apartment","Apartment",687,3,2,2,1,"Bumi Lot","Leasehold",135000
"The Golden Triangle","Condominium",1165,3,2,10,2,"Non Bumi Lot","Freehold",520000
"The Golden Triangle","Condominium",1315,3,2,10,2,"Non Bumi Lot","Freehold",600000
"The Golden Triangle","Condominium",1165,3,2,11,2,"Non Bumi Lot","Freehold",500000
"Riana Green East","Condominium",5000,5,5,13,3,"Bumi Lot","Leasehold",2500000
"Desa Putra (Wangsa Maju)","Condominium",1450,3,2,10,1,"Bumi Lot","Leasehold",620000
"Seri Riana Residence","Condominium",1382,3,2,14,2,"Bumi Lot","Leasehold",650000
"Flat Taman Ungku Tun Aminah","Flat",494,2,1,0,0,"Non Bumi Lot","Freehold",155000
"Flat Bukit Indah","Flat",753,3,2,0,2,"Non Bumi Lot","Freehold",188000
"Seremban Putra Apartments","Apartment",850,3,2,0,0,"Bumi Lot","Freehold",170000
"Pangsapuri Setia Impian @ Kajang","Apartment",1274,3,2,5,2,"Non Bumi Lot","Freehold",385000
"Rumawip Residensi Serina","Apartment",829,3,2,6,1,"Non Bumi Lot","Freehold",300000
"Symphony Heights (Simfoni Heights)","Condominium",1246,3,3,6,0,"Non Bumi Lot","Leasehold",450000
"Cristal Serin Residence","Condominium",1579,4,3,14,2,"Non Bumi Lot","Freehold",538000
"Eden Heights","Condominium",1316,3,2,5,0,"Non Bumi Lot","Leasehold",380000
"Academia Lane","Others",2526,3,4,0,0,"Non Bumi Lot","Leasehold",570000
"Bandar Sri Permaisuri Freehold [Free Furniture][Monthly 1400]","Condominium",1004,3,2,14,3,"Non Bumi Lot","Freehold",400000
"The Park @ Mak Mandin","Apartment",1000,3,2,5,1,"Non Bumi Lot","Leasehold",338000
"Selat Horizon","Condominium",991,3,2,6,0,"Non Bumi Lot","Freehold",338000
"Cheras Super Low Density Furnished Condo [Monthly 1500]","Condominium",1050,3,2,14,3,"Non Bumi Lot","Freehold",370000
"Alanis @ Warisan Puteri","Service Residence",807,3,2,12,2,"Non Bumi Lot","Freehold",380000
"Taman Malim Jaya","Flat",660,3,1,0,0,"Non Bumi Lot","Leasehold",148000
"Apartment Lestari (Damansara Damai)","Apartment",650,3,2,0,1,"Non Bumi Lot","Leasehold",170000
"Le Yuan Residence","Condominium",1710,4,4,12,2,"Non Bumi Lot","Freehold",930000
"Eco Bloom @ Eco Meadows","Condominium",1463,3,2,8,0,"Non Bumi Lot","Freehold",628000
"LakeView Residency @ Cyber Heights Villa","Condominium",9,2,2,8,2,"Bumi Lot","Freehold",348000
"Pangsapuri Indah Teluk Air Tawar Blok 1A & 1B (Pangsapuri Indah Teluk Air Tawar)","Apartment",720,3,2,2,0,"Non Bumi Lot","Freehold",190000
"Tropicana Bay Residences @ PWC","Condominium",800,2,2,13,0,"Non Bumi Lot","Freehold",675000
"Maple Residences","Service Residence",882,3,2,11,2,"Non Bumi Lot","Freehold",450000
"KL Traders Square Residences","Service Residence",1059,4,2,10,1,"Non Bumi Lot","Freehold",500000
"Park Avenue (Tampoi Indah)","Apartment",710,3,2,1,0,"Non Bumi Lot","Leasehold",168000
"Armanee Terrace I","Condominium",2300,5,3,13,3,"Bumi Lot","Leasehold",1300000
"Riana Green East","Condominium",1828,4,3,13,2,"Non Bumi Lot","Leasehold",750000
"ForestVille","Condominium",1000,3,2,9,2,"Non Bumi Lot","Freehold",487000
"Sri Akasia","Apartment",1200,3,2,10,2,"Non Bumi Lot","Leasehold",358000
"Desa Delima","Apartment",700,3,2,0,1,"Non Bumi Lot","Leasehold",235000
"Desa Mawar","Apartment",550,2,2,0,0,"Non Bumi Lot","Leasehold",220000
"Kesidang Apartment","Apartment",1000,3,2,5,0,"Non Bumi Lot","Freehold",255000
"Silk Sky","Service Residence",1044,3,2,11,2,"Non Bumi Lot","Freehold",420000
"Pangsapuri Bayu","Apartment",875,3,2,5,2,"Non Bumi Lot","Freehold",280000
"Residensi Aman","Condominium",850,3,2,7,2,"Non Bumi Lot","Freehold",325000
"Villa Puteri","Condominium",1100,3,2,9,1,"Bumi Lot","Freehold",440000
"-","Condominium",1141,3,2,0,1,"Non Bumi Lot","Freehold",300000
"Kasuma Resort","Condominium",2233,4,4,0,0,"Non Bumi Lot","Leasehold",650000
"Sri Akasia","Apartment",2080,5,4,0,0,"Non Bumi Lot","Leasehold",449000
"Berlian Residence @ Setapak","Condominium",1025,3,2,7,1,"Non Bumi Lot","Freehold",600000
"Sakura","Flat",513,2,1,0,0,"Non Bumi Lot","Freehold",160000
"One Medini Condominium","Condominium",872,2,2,0,0,"Non Bumi Lot","Leasehold",350000
"Saujana Heights","Apartment",700,3,2,2,0,"Non Bumi Lot","Freehold",230000
"Molek Regency","Condominium",1005,2,2,12,1,"Non Bumi Lot","Freehold",540000
"Taman Cendana","Flat",517,2,1,0,0,"Non Bumi Lot","Freehold",118000
"KL Traders Square Residences","Service Residence",918,4,2,11,2,"Non Bumi Lot","Freehold",520000
"-","Apartment",807,3,2,4,1,"Non Bumi Lot","Leasehold",200000
"Palma Apartment (Bandar Country Homes)","Apartment",645,3,2,2,1,"Non Bumi Lot","Freehold",99000
"Apartment Seri Teluki","Apartment",790,3,2,3,1,"Non Bumi Lot","Freehold",108000
"8scape Residences @ Sutera","Apartment",1035,3,2,9,0,"Non Bumi Lot","Freehold",528000
"Bandar Selesa Jaya","Flat",520,2,1,0,1,"Bumi Lot","Freehold",98000
"Seksyen 2 Wangsa Maju Flat","Flat",624,2,1,0,0,"Non Bumi Lot","Leasehold",188000
"Court 28 @ KL City","Service Residence",934,3,2,6,2,"Non Bumi Lot","Freehold",600000
"The Saffron","Service Residence",1085,3,2,11,2,"Non Bumi Lot","Freehold",560000
"Lakeville Residence","Condominium",1234,3,2,9,2,"Non Bumi Lot","Leasehold",770000
"Gravit8","Service Residence",635,1,1,7,1,"Non Bumi Lot","Freehold",350000
"Lovell @ Country Garden Danga Bay","Condominium",818,2,2,8,0,"Non Bumi Lot","Freehold",488000
"Lovell @ Country Garden Danga Bay","Condominium",818,2,2,5,0,"Non Bumi Lot","Freehold",488000
"Lovell @ Country Garden Danga Bay","Condominium",818,2,2,4,0,"Non Bumi Lot","Freehold",488000
"Beverly Hills 1","Apartment",608,2,1,2,0,"Bumi Lot","Leasehold",265000
"Kenwingston Square Garden","Service Residence",815,3,2,14,2,"Non Bumi Lot","Freehold",485000
"Asia Heights","Condominium",837,3,2,8,1,"Non Bumi Lot","Freehold",330000
"Kenwingston Platz","Service Residence",1010,4,2,10,2,"Non Bumi Lot","Freehold",650000
"Vista Ilmu Apartment","Apartment",750,3,2,0,0,"Non Bumi Lot","Freehold",175000
"MJC SOHO","Apartment",646,2,1,0,0,"Non Bumi Lot","Leasehold",130000
"Stutong Heights Apartment 1","Apartment",640,2,2,3,0,"Bumi Lot","Leasehold",290000
"The Oasis","Condominium",1111,3,2,6,2,"Non Bumi Lot","Leasehold",590000
"Tanjung Court","Apartment",800,3,2,2,1,"Non Bumi Lot","Leasehold",430000
"Arte S","Service Residence",1463,3,2,11,2,"Non Bumi Lot","Freehold",990000
"Setapak Ria Condominium","Condominium",1169,3,2,8,1,"Non Bumi Lot","Freehold",349000
"Arena Residence @ The Arena","Condominium",1300,3,2,14,2,"Non Bumi Lot","Freehold",730000
"Taman Seri Orkid","Flat",650,3,1,3,1,"Non Bumi Lot","Leasehold",196000
"All Seasons Park","Condominium",887,3,2,10,1,"Non Bumi Lot","Freehold",478000
"The Capsquare Residences","Condominium",2800,4,5,11,2,"Non Bumi Lot","Freehold",1650000
"Gugusan Tanjung","Apartment",614,3,2,3,0,"Non Bumi Lot","Leasehold",200000
"KL Traders Square Residences","Service Residence",1059,4,2,9,2,"Non Bumi Lot","Freehold",530000
"Gardenz @ One South","Service Residence",1020,3,2,8,0,"Bumi Lot","Leasehold",400000
"Cengal Condominium","Condominium",1023,3,2,6,1,"Non Bumi Lot","Leasehold",377000
