"Building.Name","Property.Type","Property_Size_in_sq_ft","Bedroom","Bathroom","Amount_of_Facilities","Parking_Lot","Land.Title","Tenure.Type","Price_in_RM"
"Sri Pangkor (Sentul)","Flat",560,2,1,3,3,"Bumi Lot","Leasehold",148000
"Damansara PJ New Condo","Service Residence",900,3,2,14,2,"Non Bumi Lot","Leasehold",380500
"The Clovers","Condominium",1598,3,2,7,2,"Non Bumi Lot","Freehold",620000
"Damansara PJ New Condo","Service Residence",900,3,2,14,2,"Non Bumi Lot","Leasehold",380000
"Damansara PJ New Condo","Service Residence",900,3,2,14,2,"Non Bumi Lot","Leasehold",380300
"Pangsapuri Saujana Permai 2","Apartment",1001,3,2,5,2,"Non Bumi Lot","Freehold",280000
"Indah Court Apartment (Bukit Indah)","Apartment",850,3,2,0,0,"Non Bumi Lot","Freehold",300000
"Nusa Perdana Service Apartment","Apartment",1180,4,2,8,0,"Non Bumi Lot","Freehold",298000
"Idaman Residence @ Nusa Idaman","Apartment",1385,4,2,5,0,"Non Bumi Lot","Freehold",469000
"Pangsapuri Lotus (Teratai)","Apartment",800,3,2,1,1,"Non Bumi Lot","Freehold",270000
"Langat Jaya","Condominium",983,3,2,8,1,"Bumi Lot","Freehold",320000
"Puteri Palma Condominium","Condominium",1515,3,3,11,1,"Non Bumi Lot","Freehold",550000
"Village Grove Condominium","Condominium",1711,3,3,0,1,"Non Bumi Lot","Leasehold",470000
"Flora Damansara","Condominium",850,3,2,2,1,"Non Bumi Lot","Leasehold",245000
"Village Grove Condominium","Condominium",1667,3,3,0,1,"Non Bumi Lot","Leasehold",580000
"Village Grove Condominium","Condominium",2020,5,2,0,2,"Non Bumi Lot","Leasehold",650000
"Amara Service Residences","Service Residence",1012,3,2,10,3,"Non Bumi Lot","Freehold",369900
"Mutiara Vista","Apartment",650,3,2,3,1,"Non Bumi Lot","Freehold",320000
"Seroja Apartment","Apartment",650,3,2,2,0,"Bumi Lot","Freehold",220000
"Kiara Plaza","Service Residence",477,1,1,9,1,"Non Bumi Lot","Freehold",220000
"Casa Kayangan","Apartment",1117,3,2,6,0,"Bumi Lot","Freehold",320000
"Bandar Selesa Jaya","Flat",516,2,1,0,0,"Non Bumi Lot","Freehold",118000
"Flat Taman Ungku Tun Aminah","Flat",494,2,1,0,0,"Non Bumi Lot","Freehold",125000
"Vista Harmoni","Condominium",1200,3,3,14,2,"Non Bumi Lot","Freehold",530000
"MiNest Residence","Service Residence",1300,4,3,14,3,"Non Bumi Lot","Freehold",518000
"Selera Jaya flat","Flat",526,2,1,0,0,"Non Bumi Lot","Freehold",110000
"Trinity Aquata","Condominium",1261,3,2,10,2,"Non Bumi Lot","Freehold",659900
"8 Petaling","Condominium",1690,3,3,10,2,"Bumi Lot","Freehold",738000
"MiNest Residence","Service Residence",1300,4,3,14,0,"Non Bumi Lot","Freehold",545000
"Impiana Apartment","Apartment",675,3,2,2,0,"Non Bumi Lot","Leasehold",97999
"Jasa","Flat",610,3,2,0,0,"Non Bumi Lot","Leasehold",128000
"Sri Selera Court Apartment","Apartment",850,3,2,0,1,"Non Bumi Lot","Freehold",230000
"LSH Sentul","Apartment",1000,3,2,11,0,"Non Bumi Lot","Leasehold",450000
"LSH Sentul","Apartment",1000,3,2,6,2,"Non Bumi Lot","Leasehold",445000
"Parc Regency Serviced Apartment","Service Residence",434,1,1,0,0,"Non Bumi Lot","Freehold",205000
"Taman Plentong Utama","Flat",750,3,2,0,0,"Non Bumi Lot","Freehold",135000
"Taman Selesa Jaya","Flat",525,2,1,0,0,"Non Bumi Lot","Freehold",120000
"Kiara Court","Apartment",929,3,2,7,2,"Bumi Lot","Leasehold",290000
"Puteri Palma Condominium","Condominium",1515,3,3,13,1,"Non Bumi Lot","Freehold",550000
"Parkland Residence @ Sungai Melaka","Service Residence",1350,3,2,9,2,"Non Bumi Lot","Freehold",548000
"Prima Regency Service Apartment","Service Residence",1065,3,2,0,0,"Non Bumi Lot","Freehold",350000
"One Medini Condominium","Condominium",876,2,2,0,0,"Non Bumi Lot","Leasehold",350000
"Utropolis Serviced Apartment 1","Condominium",1066,3,2,7,2,"Non Bumi Lot","Freehold",560000
"Zennith Suites","Condominium",678,1,1,0,0,"Non Bumi Lot","Leasehold",245000
"Putatan Platinum Apartment","Apartment",850,3,2,7,0,"Non Bumi Lot","Leasehold",298000
"Urban Suites","Service Residence",753,3,2,10,2,"Non Bumi Lot","Freehold",650000
"lake point residence , landed ,cyerjaya","Others",2896,6,5,5,0,"Non Bumi Lot","Freehold",1095000
"Apartment Kenanga Mewah","Apartment",1001,3,2,1,0,"Non Bumi Lot","Freehold",200000
"Puteri Palma Condominium","Condominium",1654,3,3,11,2,"Non Bumi Lot","Freehold",437400
"-","Condominium",1668,3,3,11,2,"Non Bumi Lot","Freehold",620000
"Kasturi (Johor Bahru)","Apartment",861,3,2,2,0,"Bumi Lot","Freehold",290000
"Goodview Heights ( Villa Residence )","Apartment",1053,3,2,5,2,"Non Bumi Lot","Freehold",225500
"1 Sentul","Condominium",1081,3,2,10,2,"Non Bumi Lot","Freehold",465500
"Pelangi Indah","Condominium",900,3,2,8,1,"Non Bumi Lot","Freehold",250000
"Southbay Plaza @ Southbay City","Service Residence",1100,2,2,5,3,"Non Bumi Lot","Freehold",850000
"Amara Service Residences","Service Residence",1011,3,2,10,2,"Non Bumi Lot","Freehold",300000
"Elaeis 2","Condominium",1190,3,2,8,1,"Bumi Lot","Freehold",488000
"SuriaMas Suites (Johor Bahru)","Service Residence",850,3,2,3,0,"Non Bumi Lot","Leasehold",335000
"Armani Soho","Service Residence",450,1,1,10,1,"Non Bumi Lot","Freehold",368000
"Majestic Maxim","Service Residence",818,3,2,8,1,"Non Bumi Lot","Leasehold",340000
"Villa Emas","Condominium",850,3,2,13,1,"Non Bumi Lot","Leasehold",447000
"OUG Parklane","Service Residence",950,3,2,4,2,"Non Bumi Lot","Freehold",450000
"Taman Seri Murni (Selayang)","Apartment",776,3,2,6,1,"Non Bumi Lot","Leasehold",178000
"Seroja Apartment","Apartment",650,3,1,3,0,"Bumi Lot","Freehold",220000
"Flora Damansara","Condominium",850,3,2,1,1,"Non Bumi Lot","Leasehold",245000
"Sri Hijau","Condominium",932,3,2,8,1,"Non Bumi Lot","Freehold",300000
"Sri Pinang (Georgetown)","Apartment",656,3,2,2,0,"Non Bumi Lot","Leasehold",230000
"Desa Putra (Wangsa Maju)","Condominium",1340,4,2,7,1,"Bumi Lot","Leasehold",630000
"Pangsapuri Seri Nilam","Flat",688,3,2,1,1,"Bumi Lot","Leasehold",150000
"Putra Ria Apartment","Apartment",603,3,1,3,0,"Bumi Lot","Leasehold",235000
"Residensi Alam Damai (PR1MA @ Alam Damai)","Apartment",1048,3,2,10,2,"Bumi Lot","Leasehold",450000
"Relau Vista","Apartment",800,3,2,7,1,"Non Bumi Lot","Freehold",345000
"Relau Vista","Apartment",750,3,2,7,1,"Non Bumi Lot","Freehold",345000
"Idaman Seroja","Apartment",650,3,2,0,1,"Non Bumi Lot","Leasehold",276000
